Category: All categories

Month,gout: (India)
2014-01,60
2014-02,62
2014-03,67
2014-04,67
2014-05,68
2014-06,65
2014-07,68
2014-08,72
2014-09,72
2014-10,71
2014-11,72
2014-12,63
2015-01,65
2015-02,75
2015-03,73
2015-04,81
2015-05,74
2015-06,78
2015-07,69
2015-08,73
2015-09,73
2015-10,70
2015-11,68
2015-12,65
2016-01,64
2016-02,80
2016-03,80
2016-04,79
2016-05,74
2016-06,78
2016-07,75
2016-08,71
2016-09,73
2016-10,67
2016-11,66
2016-12,60
2017-01,63
2017-02,72
2017-03,68
2017-04,72
2017-05,69
2017-06,68
2017-07,75
2017-08,68
2017-09,78
2017-10,74
2017-11,69
2017-12,61
2018-01,63
2018-02,66
2018-03,78
2018-04,75
2018-05,76
2018-06,67
2018-07,68
2018-08,65
2018-09,64
2018-10,64
2018-11,60
2018-12,60
2019-01,62
2019-02,64
2019-03,70
2019-04,75
2019-05,71
2019-06,71
2019-07,77
2019-08,74
2019-09,90
2019-10,67
2019-11,76
2019-12,73
2020-01,69
2020-02,77
2020-03,69
2020-04,80
2020-05,95
2020-06,88
2020-07,87
2020-08,83
2020-09,85
2020-10,81
2020-11,72
2020-12,75
2021-01,74
2021-02,81
2021-03,84
2021-04,83
2021-05,97
2021-06,100
2021-07,87
2021-08,90
2021-09,81
2021-10,67
2021-11,68
2021-12,72
2022-01,81
2022-02,93
2022-03,95
2022-04,83
2022-05,84
2022-06,92
2022-07,79
2022-08,78
2022-09,78
2022-10,75
2022-11,83
2022-12,83
2023-01,78
2023-02,85
2023-03,85
2023-04,82
2023-05,77
2023-06,88
2023-07,91
2023-08,100
2023-09,75
2023-10,80
2023-11,80
2023-12,75
2024-01,75
2024-02,78
2024-03,81
2024-04,78
