Category: All categories

Month,gout: (South Korea)
2014-01,36
2014-02,52
2014-03,74
2014-04,98
2014-05,78
2014-06,60
2014-07,89
2014-08,86
2014-09,79
2014-10,98
2014-11,53
2014-12,65
2015-01,77
2015-02,49
2015-03,87
2015-04,72
2015-05,85
2015-06,69
2015-07,66
2015-08,83
2015-09,85
2015-10,65
2015-11,74
2015-12,65
2016-01,75
2016-02,55
2016-03,57
2016-04,50
2016-05,71
2016-06,69
2016-07,68
2016-08,75
2016-09,60
2016-10,73
2016-11,85
2016-12,85
2017-01,58
2017-02,70
2017-03,80
2017-04,71
2017-05,70
2017-06,100
2017-07,67
2017-08,58
2017-09,67
2017-10,65
2017-11,79
2017-12,34
2018-01,51
2018-02,70
2018-03,67
2018-04,84
2018-05,81
2018-06,91
2018-07,76
2018-08,77
2018-09,84
2018-10,55
2018-11,72
2018-12,75
2019-01,52
2019-02,59
2019-03,88
2019-04,76
2019-05,87
2019-06,60
2019-07,79
2019-08,76
2019-09,52
2019-10,66
2019-11,73
2019-12,74
2020-01,69
2020-02,55
2020-03,49
2020-04,63
2020-05,69
2020-06,67
2020-07,70
2020-08,46
2020-09,45
2020-10,57
2020-11,58
2020-12,33
2021-01,46
2021-02,63
2021-03,63
2021-04,71
2021-05,78
2021-06,71
2021-07,73
2021-08,67
2021-09,55
2021-10,45
2021-11,45
2021-12,65
2022-01,55
2022-02,41
2022-03,52
2022-04,54
2022-05,70
2022-06,65
2022-07,49
2022-08,71
2022-09,65
2022-10,52
2022-11,59
2022-12,60
2023-01,62
2023-02,52
2023-03,62
2023-04,78
2023-05,84
2023-06,95
2023-07,81
2023-08,88
2023-09,91
2023-10,89
2023-11,75
2023-12,87
2024-01,75
2024-02,92
2024-03,89
2024-04,88
