Category: All categories

Month,gout: (Sri Lanka)
2014-01,41
2014-02,47
2014-03,40
2014-04,0
2014-05,0
2014-06,51
2014-07,44
2014-08,0
2014-09,0
2014-10,0
2014-11,61
2014-12,42
2015-01,0
2015-02,41
2015-03,41
2015-04,0
2015-05,30
2015-06,0
2015-07,49
2015-08,0
2015-09,52
2015-10,51
2015-11,43
2015-12,34
2016-01,0
2016-02,30
2016-03,44
2016-04,36
2016-05,36
2016-06,41
2016-07,35
2016-08,29
2016-09,45
2016-10,25
2016-11,47
2016-12,45
2017-01,36
2017-02,38
2017-03,29
2017-04,40
2017-05,32
2017-06,47
2017-07,0
2017-08,53
2017-09,25
2017-10,32
2017-11,40
2017-12,28
2018-01,36
2018-02,45
2018-03,43
2018-04,41
2018-05,64
2018-06,43
2018-07,46
2018-08,50
2018-09,40
2018-10,64
2018-11,44
2018-12,31
2019-01,52
2019-02,47
2019-03,40
2019-04,29
2019-05,44
2019-06,36
2019-07,31
2019-08,36
2019-09,42
2019-10,49
2019-11,58
2019-12,37
2020-01,86
2020-02,47
2020-03,55
2020-04,51
2020-05,52
2020-06,46
2020-07,60
2020-08,59
2020-09,60
2020-10,49
2020-11,46
2020-12,50
2021-01,44
2021-02,52
2021-03,48
2021-04,50
2021-05,45
2021-06,44
2021-07,42
2021-08,56
2021-09,50
2021-10,47
2021-11,32
2021-12,54
2022-01,57
2022-02,55
2022-03,59
2022-04,37
2022-05,48
2022-06,30
2022-07,39
2022-08,42
2022-09,55
2022-10,40
2022-11,39
2022-12,69
2023-01,58
2023-02,56
2023-03,61
2023-04,49
2023-05,45
2023-06,59
2023-07,43
2023-08,60
2023-09,32
2023-10,42
2023-11,55
2023-12,49
2024-01,41
2024-02,39
2024-03,61
2024-04,54
2024-05,41
2024-06,54
2024-07,34
2024-08,65
2024-09,52
2024-10,61
2024-11,47
2024-12,100
