Category: All categories

Month,gout: (Zambia)
2014-01,0
2014-02,100
2014-03,54
2014-04,0
2014-05,80
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,66
2014-11,0
2014-12,56
2015-01,0
2015-02,0
2015-03,0
2015-04,55
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,38
2015-10,33
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,43
2016-04,0
2016-05,30
2016-06,34
2016-07,0
2016-08,30
2016-09,0
2016-10,42
2016-11,48
2016-12,30
2017-01,0
2017-02,34
2017-03,48
2017-04,42
2017-05,35
2017-06,0
2017-07,0
2017-08,31
2017-09,0
2017-10,0
2017-11,35
2017-12,54
2018-01,32
2018-02,34
2018-03,27
2018-04,74
2018-05,29
2018-06,49
2018-07,31
2018-08,43
2018-09,48
2018-10,53
2018-11,49
2018-12,39
2019-01,25
2019-02,64
2019-03,36
2019-04,49
2019-05,54
2019-06,27
2019-07,49
2019-08,38
2019-09,45
2019-10,44
2019-11,63
2019-12,37
2020-01,57
2020-02,45
2020-03,40
2020-04,45
2020-05,52
2020-06,44
2020-07,29
2020-08,46
2020-09,78
2020-10,48
2020-11,61
2020-12,40
2021-01,45
2021-02,40
2021-03,51
2021-04,50
2021-05,62
2021-06,49
2021-07,43
2021-08,40
2021-09,64
2021-10,46
2021-11,59
2021-12,47
2022-01,61
2022-02,54
2022-03,68
2022-04,65
2022-05,77
2022-06,72
2022-07,63
2022-08,58
2022-09,94
2022-10,94
2022-11,87
2022-12,54
2023-01,66
2023-02,72
2023-03,61
2023-04,80
2023-05,69
2023-06,68
2023-07,55
2023-08,50
2023-09,66
2023-10,68
2023-11,72
2023-12,59
2024-01,50
2024-02,67
2024-03,60
2024-04,37
2024-05,65
2024-06,61
2024-07,58
2024-08,58
2024-09,42
2024-10,54
2024-11,52
2024-12,66
