Category: All categories

Month,gout: (Thailand)
2014-01,46
2014-02,34
2014-03,30
2014-04,36
2014-05,40
2014-06,38
2014-07,40
2014-08,44
2014-09,40
2014-10,42
2014-11,41
2014-12,38
2015-01,39
2015-02,46
2015-03,38
2015-04,33
2015-05,35
2015-06,44
2015-07,46
2015-08,45
2015-09,37
2015-10,38
2015-11,44
2015-12,42
2016-01,41
2016-02,42
2016-03,47
2016-04,43
2016-05,42
2016-06,40
2016-07,48
2016-08,52
2016-09,55
2016-10,46
2016-11,54
2016-12,48
2017-01,58
2017-02,56
2017-03,52
2017-04,55
2017-05,45
2017-06,61
2017-07,61
2017-08,58
2017-09,56
2017-10,61
2017-11,60
2017-12,53
2018-01,56
2018-02,59
2018-03,49
2018-04,54
2018-05,49
2018-06,58
2018-07,61
2018-08,55
2018-09,61
2018-10,53
2018-11,59
2018-12,58
2019-01,58
2019-02,61
2019-03,64
2019-04,53
2019-05,51
2019-06,62
2019-07,71
2019-08,62
2019-09,64
2019-10,61
2019-11,68
2019-12,67
2020-01,65
2020-02,64
2020-03,55
2020-04,49
2020-05,48
2020-06,60
2020-07,59
2020-08,63
2020-09,65
2020-10,54
2020-11,54
2020-12,49
2021-01,47
2021-02,46
2021-03,48
2021-04,44
2021-05,43
2021-06,53
2021-07,46
2021-08,40
2021-09,53
2021-10,51
2021-11,54
2021-12,47
2022-01,53
2022-02,50
2022-03,57
2022-04,46
2022-05,49
2022-06,61
2022-07,58
2022-08,60
2022-09,59
2022-10,59
2022-11,67
2022-12,57
2023-01,64
2023-02,69
2023-03,68
2023-04,63
2023-05,59
2023-06,65
2023-07,73
2023-08,77
2023-09,75
2023-10,68
2023-11,75
2023-12,68
2024-01,75
2024-02,85
2024-03,76
2024-04,85
2024-05,85
2024-06,81
2024-07,84
2024-08,82
2024-09,92
2024-10,80
2024-11,86
2024-12,100
