Category: All categories

Month,gout: (Kenya)
2014-01,70
2014-02,82
2014-03,100
2014-04,82
2014-05,75
2014-06,57
2014-07,59
2014-08,64
2014-09,67
2014-10,73
2014-11,54
2014-12,54
2015-01,43
2015-02,70
2015-03,66
2015-04,61
2015-05,68
2015-06,63
2015-07,66
2015-08,47
2015-09,42
2015-10,56
2015-11,44
2015-12,50
2016-01,66
2016-02,66
2016-03,49
2016-04,31
2016-05,51
2016-06,45
2016-07,44
2016-08,35
2016-09,58
2016-10,60
2016-11,57
2016-12,34
2017-01,39
2017-02,53
2017-03,47
2017-04,47
2017-05,57
2017-06,48
2017-07,51
2017-08,39
2017-09,37
2017-10,50
2017-11,36
2017-12,40
2018-01,55
2018-02,50
2018-03,51
2018-04,38
2018-05,42
2018-06,57
2018-07,55
2018-08,49
2018-09,42
2018-10,40
2018-11,47
2018-12,44
2019-01,47
2019-02,56
2019-03,61
2019-04,47
2019-05,49
2019-06,55
2019-07,68
2019-08,51
2019-09,57
2019-10,58
2019-11,51
2019-12,43
2020-01,73
2020-02,52
2020-03,57
2020-04,72
2020-05,58
2020-06,55
2020-07,47
2020-08,51
2020-09,63
2020-10,54
2020-11,53
2020-12,49
2021-01,60
2021-02,68
2021-03,53
2021-04,61
2021-05,52
2021-06,57
2021-07,49
2021-08,47
2021-09,53
2021-10,55
2021-11,62
2021-12,50
2022-01,73
2022-02,72
2022-03,69
2022-04,70
2022-05,80
2022-06,79
2022-07,83
2022-08,52
2022-09,68
2022-10,74
2022-11,77
2022-12,72
2023-01,67
2023-02,75
2023-03,78
2023-04,74
2023-05,68
2023-06,88
2023-07,73
2023-08,58
2023-09,64
2023-10,68
2023-11,67
2023-12,75
2024-01,78
2024-02,65
2024-03,63
2024-04,55
2024-05,62
2024-06,62
2024-07,62
2024-08,63
2024-09,62
2024-10,66
2024-11,70
2024-12,75
